ibge7;Município;Taxa de mortalidade por câncer de colo de útero;Taxa de mortalidade por câncer de mama;Taxa de mortalidade por câncer de pulmão
3100104;Abadia dos Dourados;0,00;0,00;47,83
3100203;Abaeté;0,00;34,86;30,87
3100302;Abre Campo;0,00;14,49;14,36
3100401;Acaiaca;49,70;0,00;0,00
3100500;Açucena;0,00;22,89;11,18
3100609;Água Boa;0,00;16,09;0,00
3100708;Água Comprida;0,00;0,00;0,00
3100807;Aguanil;0,00;0,00;0,00
3100906;Águas Formosas;0,00;0,00;16,26
3101003;Águas Vermelhas;0,00;0,00;0,00
3101102;Aimorés;0,00;31,20;11,87
3101201;Aiuruoca;0,00;32,53;32,09
3101300;Alagoa;0,00;0,00;0,00
3101409;Albertina;0,00;0,00;0,00
3101508;Além Paraíba;6,17;24,67;13,02
3101607;Alfenas;14,79;14,79;24,06
3101631;Alfredo Vasconcelos;0,00;0,00;14,43
3101706;Almenara;4,89;9,78;12,39
3101805;Alpercata;0,00;0,00;0,00
3101904;Alpinópolis;0,00;21,96;32,79
3102001;Alterosa;0,00;14,44;14,37
3102050;Alto Caparaó;0,00;0,00;34,51
3153509;Alto Jequitibá;0,00;48,74;11,91
3102100;Alto Rio Doce;0,00;37,10;9,18
3102209;Alvarenga;0,00;0,00;25,17
3102308;Alvinópolis;0,00;26,26;19,92
3102407;Alvorada de Minas;0,00;0,00;0,00
3102506;Amparo da Serra;0,00;87,11;44,04
3102605;Andradas;0,00;14,65;19,73
3102803;Andrelândia;0,00;16,63;33,54
3102852;Angelândia;0,00;0,00;12,96
3102902;Antônio Carlos;0,00;0,00;9,01
3103009;Antônio Dias;22,07;22,07;21,69
3103108;Antônio Prado de Minas;0,00;0,00;65,02
3103207;Araçaí;0,00;0,00;45,85
3103306;Aracitaba;0,00;94,97;48,80
3103405;Araçuaí;0,00;5,72;5,83
3103504;Araguari;1,66;18,29;9,34
3103603;Arantina;0,00;0,00;0,00
3103702;Araponga;0,00;0,00;0,00
3103751;Araporã;0,00;23,55;0,00
